Net Status Report
Filename     : D:\1_AltiumProject\29_DAL_OBC\SpaceLiinTech_BEE_DAL_OBC_HW\01_DESIGN\DAL_OBC_V10.PcbDoc
Date         : 7/21/2026
Time         : 10:23:16 AM
Time Elapsed : 00:00:00

Nets, Layer, Length
    FPGA_FLASH_SPI_MD3, Signal Layers Only, 0mm
    FPGA_FLASH_SPI_MISO/MD1, Signal Layers Only, 0mm
    FPGA_FLASH_SPI_MOSI/MD0, Signal Layers Only, 0mm
    FPGA_IO0, Signal Layers Only, 0mm
    FPGA_IO1, Signal Layers Only, 0mm
    FPGA_IO10, Signal Layers Only, 0mm
    FPGA_IO11, Signal Layers Only, 0mm
    FPGA_IO12, Signal Layers Only, 0mm
    FPGA_IO13, Signal Layers Only, 0mm
    FPGA_IO14, Signal Layers Only, 0mm
    FPGA_IO15, Signal Layers Only, 0mm
    FPGA_IO2, Signal Layers Only, 0mm
    FPGA_IO3, Signal Layers Only, 0mm
    FPGA_IO4, Signal Layers Only, 0mm
    FPGA_IO5, Signal Layers Only, 0mm
    FPGA_IO6, Signal Layers Only, 0mm
    FPGA_IO7, Signal Layers Only, 0mm
    FPGA_IO8, Signal Layers Only, 0mm
    FPGA_IO9, Signal Layers Only, 0mm
    FPGA_LED0, Signal Layers Only, 0mm
    FPGA_LED1, Signal Layers Only, 0mm
    FPGA_QSPI_CLK, Signal Layers Only, 0mm
    FPGA_RCLK, Signal Layers Only, 0mm
    FPGA_SRCLK, Signal Layers Only, 0mm
    FPGA_UART_CONSOLE_RX, Signal Layers Only, 0mm
    FPGA_UART_CONSOLE_TX, Signal Layers Only, 0mm
    FPGA_UART_RX, Signal Layers Only, 0mm
    FPGA_UART_TX, Signal Layers Only, 0mm
    FPGA_USART_CLK, Signal Layers Only, 0mm
    FPGA_USART_RX, Signal Layers Only, 0mm
    FPGA_USART_TX, Signal Layers Only, 0mm
    FPGA_nOE, Signal Layers Only, 0mm
    GND, Signal Layers Only, 0mm
    INIT_B, Signal Layers Only, 0mm
    JTAG_TCK, Signal Layers Only, 0mm
    JTAG_TDI, Signal Layers Only, 0mm
    JTAG_TDO, Signal Layers Only, 0mm
    JTAG_TMS, Signal Layers Only, 0mm
    LPM, Signal Layers Only, 6.9332mm
    MCP16502_HPM, Signal Layers Only, 0mm
    MODE_0, Signal Layers Only, 0mm
    MODE_1, Signal Layers Only, 0mm
    MODE_2, Signal Layers Only, 0mm
    MPU_CANRX0, Signal Layers Only, 0mm
    MPU_CANRX1, Signal Layers Only, 0.2173mm
    MPU_CANTX0, Signal Layers Only, 1.8191mm
    MPU_CANTX1, Signal Layers Only, 1.3269mm
    MPU_FPGA_IO_0, Signal Layers Only, 0mm
    MPU_FPGA_IO_1, Signal Layers Only, 0mm
    MPU_FPGA_IO_2, Signal Layers Only, 0mm
    MPU_FPGA_IO_3, Signal Layers Only, 0mm
    MPU_UART_CONSOLE_RX, Signal Layers Only, 0mm
    MPU_UART_CONSOLE_TX, Signal Layers Only, 0mm
    MPU_UART_RS422_RX, Signal Layers Only, 0mm
    MPU_UART_RS422_TX, Signal Layers Only, 0mm
    MPU_USBA_N, Signal Layers Only, 4.1239mm
    MPU_USBA_P, Signal Layers Only, 3.3553mm
    MPU_USBB_N, Signal Layers Only, 0mm
    MPU_USBB_P, Signal Layers Only, 0mm
    MPU_USBC_N, Signal Layers Only, 3.6356mm
    MPU_USBC_P, Signal Layers Only, 2.876mm
    MPU_USB_LED_1, Signal Layers Only, 0.1645mm
    MPU_USB_LED_2, Signal Layers Only, 0mm
    NTRST_PC25, Signal Layers Only, 1.9883mm
    NetC118_2, Signal Layers Only, 0mm
    NetC142_1, Signal Layers Only, 0mm
    NetC142_2, Signal Layers Only, 0mm
    NetC143_1, Signal Layers Only, 0mm
    NetC143_2, Signal Layers Only, 0mm
    NetC144_2, Signal Layers Only, 0mm
    NetC145_2, Signal Layers Only, 0mm
    NetC147_1, Signal Layers Only, 0mm
    NetC147_2, Signal Layers Only, 0mm
    NetC148_1, Signal Layers Only, 0mm
    NetC148_2, Signal Layers Only, 0mm
    NetC149_2, Signal Layers Only, 0mm
    NetC150_2, Signal Layers Only, 0mm
    NetC166_2, Signal Layers Only, 0mm
    NetC195_2, Signal Layers Only, 0mm
    NetC196_2, Signal Layers Only, 0mm
    NetC229_2, Signal Layers Only, 0mm
    NetC230_2, Signal Layers Only, 0mm
    NetC238_2, Signal Layers Only, 0mm
    NetC240_2, Signal Layers Only, 0mm
    NetC242_2, Signal Layers Only, 0mm
    NetC247_2, Signal Layers Only, 0mm
    NetC248_2, Signal Layers Only, 0mm
    NetC257_2, Signal Layers Only, 0mm
    NetC71_2, Signal Layers Only, 0mm
    NetC72_1, Signal Layers Only, 0.8306mm
    NetC73_2, Signal Layers Only, 0mm
    NetC75_2, Signal Layers Only, 18.0579mm
    NetD10_1, Signal Layers Only, 0mm
    NetD11_2, Signal Layers Only, 0mm
    NetD12_2, Signal Layers Only, 0mm
    NetD19_1, Signal Layers Only, 0mm
    NetD19_2, Signal Layers Only, 0mm
    NetD20_1, Signal Layers Only, 0mm
    NetD20_2, Signal Layers Only, 0mm
    NetD25_1, Signal Layers Only, 0mm
    NetD2_2, Signal Layers Only, 0mm
    NetD3_2, Signal Layers Only, 0mm
    NetD4_2, Signal Layers Only, 0mm
    NetD5_2, Signal Layers Only, 0mm
    NetDNP/U1_1, Signal Layers Only, 2.2907mm
    NetDS1_1, Signal Layers Only, 0mm
    NetDS2_1, Signal Layers Only, 0mm
    NetDS3_1, Signal Layers Only, 0mm
    NetH1_21, Signal Layers Only, 0mm
    NetH1_22, Signal Layers Only, 0mm
    NetH1_23, Signal Layers Only, 0mm
    NetH1_25, Signal Layers Only, 0mm
    NetH1_27, Signal Layers Only, 0mm
    NetH1_37, Signal Layers Only, 0mm
    NetH1_38, Signal Layers Only, 0mm
    NetIC1_16, Signal Layers Only, 0mm
    NetIC1_19, Signal Layers Only, 0mm
    NetIC1_2, Signal Layers Only, 0mm
    NetIC1_4, Signal Layers Only, 0mm
    NetJ8_10, Signal Layers Only, 0mm
    NetJ8_11, Signal Layers Only, 0mm
    NetJ8_2, Signal Layers Only, 0mm
    NetJ8_3, Signal Layers Only, 0mm
    NetJ8_4, Signal Layers Only, 0mm
    NetJ8_5, Signal Layers Only, 0mm
    NetJ8_6, Signal Layers Only, 0mm
    NetJ8_7, Signal Layers Only, 0mm
    NetJ8_8, Signal Layers Only, 0mm
    NetJ8_9, Signal Layers Only, 0mm
    NetJP4_1, Signal Layers Only, 0mm
    NetJP4_2, Signal Layers Only, 0mm
    NetL1_1, Signal Layers Only, 0mm
    NetL2_1, Signal Layers Only, 0mm
    NetL3_1, Signal Layers Only, 1.3571mm
    NetL4_1, Signal Layers Only, 0mm
    NetQ1_3, Signal Layers Only, 0mm
    NetQ2_1, Signal Layers Only, 0mm
    NetQ2_3, Signal Layers Only, 0mm
    NetQ3_1, Signal Layers Only, 0mm
    NetQ4_1, Signal Layers Only, 0mm
    NetQ5_1, Signal Layers Only, 0mm
    NetQ5_3, Signal Layers Only, 0mm
    NetQ6_1, Signal Layers Only, 0mm
    NetQ7_1, Signal Layers Only, 0mm
    NetR111_1, Signal Layers Only, 0.6248mm
    NetR116_1, Signal Layers Only, 0mm
    NetR119_2, Signal Layers Only, 2.8712mm
    NetR123_2, Signal Layers Only, 0mm
    NetR13_2, Signal Layers Only, 1.646mm
    NetR146_2, Signal Layers Only, 0mm
    NetR156_1, Signal Layers Only, 3.7905mm
    NetR174_1, Signal Layers Only, 0mm
    NetR175_2, Signal Layers Only, 0mm
    NetR176_2, Signal Layers Only, 0mm
    NetR177_1, Signal Layers Only, 0mm
    NetR178_2, Signal Layers Only, 0mm
    NetR179_2, Signal Layers Only, 0mm
    NetR180_1, Signal Layers Only, 0mm
    NetR181_2, Signal Layers Only, 0mm
    NetR182_2, Signal Layers Only, 0mm
    NetR183_1, Signal Layers Only, 0mm
    NetR184_2, Signal Layers Only, 0mm
    NetR185_1, Signal Layers Only, 0mm
    NetR188_1, Signal Layers Only, 0mm
    NetR190_1, Signal Layers Only, 0mm
    NetR191_1, Signal Layers Only, 0mm
    NetR193_1, Signal Layers Only, 0mm
    NetR194_1, Signal Layers Only, 0mm
    NetR195_1, Signal Layers Only, 0mm
    NetR196_1, Signal Layers Only, 0mm
    NetR198_1, Signal Layers Only, 0mm
    NetR199_1, Signal Layers Only, 0mm
    NetR19_2, Signal Layers Only, 2.6327mm
    NetR200_1, Signal Layers Only, 0mm
    NetR203_1, Signal Layers Only, 0mm
    NetR205_1, Signal Layers Only, 0mm
    NetR20_1, Signal Layers Only, 8.5123mm
    NetR210_2, Signal Layers Only, 0mm
    NetR213_1, Signal Layers Only, 1.4827mm
    NetR214_1, Signal Layers Only, 0mm
    NetR215_1, Signal Layers Only, 0mm
    NetR216_1, Signal Layers Only, 0mm
    NetR217_1, Signal Layers Only, 0mm
    NetR217_2, Signal Layers Only, 0mm
    NetR21_1, Signal Layers Only, 5.3598mm
    NetR223_2, Signal Layers Only, 0mm
    NetR225_1, Signal Layers Only, 0mm
    NetR226_2, Signal Layers Only, 0mm
