Net Status Report
Filename     : D:\1_AltiumProject\29_DAL_OBC\SpaceLiinTech_BEE_DAL_OBC_HW\01_DESIGN\DAL_OBC_V10.PcbDoc
Date         : 7/21/2026
Time         : 10:23:16 AM
Time Elapsed : 00:00:00

Nets, Layer, Length
    _PA4, Signal Layers Only, 16.327mm
    _PA5, Signal Layers Only, 6.3216mm
    _PA6, Signal Layers Only, 10.9987mm
    _PA7, Signal Layers Only, 13.2503mm
    _PA8, Signal Layers Only, 7.2536mm
    _PA9, Signal Layers Only, 5.5157mm
    _PB0, Signal Layers Only, 10.5977mm
    _PB1, Signal Layers Only, 4.2379mm
    _PB10, Signal Layers Only, 10.1438mm
    _PB11, Signal Layers Only, 6.6599mm
    _PB12, Signal Layers Only, 11.4991mm
    _PB13, Signal Layers Only, 11.3388mm
    _PB14, Signal Layers Only, 14.8846mm
    _PB15, Signal Layers Only, 9.9834mm
    _PB16, Signal Layers Only, 10.8829mm
    _PB17, Signal Layers Only, 5.1237mm
    _PB18, Signal Layers Only, 5.4301mm
    _PB19, Signal Layers Only, 4.7665mm
    _PB2, Signal Layers Only, 6.2743mm
    _PB25, Signal Layers Only, 0mm
    _PB28, Signal Layers Only, 6.6139mm
    _PB29, Signal Layers Only, 10.2834mm
    _PB3, Signal Layers Only, 7.0691mm
    _PB30, Signal Layers Only, 8.7147mm
    _PB31, Signal Layers Only, 3.7594mm
    _PB4, Signal Layers Only, 6.3747mm
    _PB5, Signal Layers Only, 7.6418mm
    _PB6, Signal Layers Only, 8.3956mm
    _PB8, Signal Layers Only, 8.3916mm
    _PB9, Signal Layers Only, 8.5058mm
    _PC0, Signal Layers Only, 7.3439mm
    _PC1, Signal Layers Only, 10.8293mm
    _PC10, Signal Layers Only, 13.0477mm
    _PC11, Signal Layers Only, 10.832mm
    _PC12, Signal Layers Only, 7.1566mm
    _PC13, Signal Layers Only, 11.1922mm
    _PC14, Signal Layers Only, 10.2697mm
    _PC15, Signal Layers Only, 11.2182mm
    _PC16, Signal Layers Only, 8.8593mm
    _PC17, Signal Layers Only, 10.6283mm
    _PC18, Signal Layers Only, 7.2896mm
    _PC19, Signal Layers Only, 13.8733mm
    _PC2, Signal Layers Only, 7.9125mm
    _PC20, Signal Layers Only, 9.0074mm
    _PC21, Signal Layers Only, 9.6042mm
    _PC22, Signal Layers Only, 9.1397mm
    _PC23, Signal Layers Only, 8.614mm
    _PC24, Signal Layers Only, 8.9442mm
    _PC3, Signal Layers Only, 3.0285mm
    _PC30, Signal Layers Only, 8.3781mm
    _PC31, Signal Layers Only, 6.9733mm
    _PC4, Signal Layers Only, 5.0238mm
    _PC5, Signal Layers Only, 6.5564mm
    _PC7, Signal Layers Only, 9.1683mm
    _PC8, Signal Layers Only, 6.4717mm
    _PC9, Signal Layers Only, 6.9374mm
    _PD00, Signal Layers Only, 8.6674mm
    _PD01, Signal Layers Only, 9.3498mm
    _PD02, Signal Layers Only, 4.7151mm
    _PD03, Signal Layers Only, 4.2194mm
    _PD04, Signal Layers Only, 3.5272mm
    _PD05, Signal Layers Only, 3.6928mm
    _PD06, Signal Layers Only, 8.1755mm
    _PD07, Signal Layers Only, 13.3705mm
    _PD08, Signal Layers Only, 6.4568mm
    _PD09, Signal Layers Only, 4.0865mm
    _PD11, Signal Layers Only, 4.5793mm
    _PD12, Signal Layers Only, 6.5683mm
    _PD13, Signal Layers Only, 5.8056mm
    _PD14, Signal Layers Only, 6.6139mm
    _PD15, Signal Layers Only, 6.0687mm
    _PD16, Signal Layers Only, 7.7186mm
    _PD17, Signal Layers Only, 12.1165mm
    _PD18, Signal Layers Only, 6.0239mm
    _PD19, Signal Layers Only, 9.2066mm
    _PD20, Signal Layers Only, 7.3251mm
    _PD21, Signal Layers Only, 4.9426mm
    _PD28, Signal Layers Only, 0mm
    _PD30, Signal Layers Only, 0mm
    _PD31, Signal Layers Only, 7.9996mm
    _PE0, Signal Layers Only, 8.337mm
    _PE1, Signal Layers Only, 11.856mm
    _PE2, Signal Layers Only, 4.7587mm
    _PE3, Signal Layers Only, 5.7459mm
    _PE4, Signal Layers Only, 5.8742mm
    _PE5, Signal Layers Only, 5.4169mm
    _PE6, Signal Layers Only, 8.0582mm
    _PE7, Signal Layers Only, 9.2136mm
    eFUSE_ILIM_5V_FPGA, Signal Layers Only, 0mm
count : 620
